source,imported,target,line,kind,resolved
analyze/stat_num_exec.py,analyze.pattern,analyze/pattern.py,8,from,True
analyze/stat_num_exec.py,analyze.pattern,analyze/pattern.py,9,from,True
analyze/stat_num_exec.py,analyze.pattern,analyze/pattern.py,10,from,True
analyze/xlsl_e2e_lat_abla.py,pandas,,13,import,False
analyze/xlsl_e2e_lat_abla.py,argparse,,14,import,False
analyze/xlsl_e2e_lat_abla.py,os,,14,import,False
analyze/xlsl_e2e_lat_abla.py,analyze.pattern,analyze/pattern.py,15,from,True
analyze/xlsl_e2e_latency.py,pandas,,1,import,False
analyze/xlsl_e2e_latency.py,argparse,,2,import,False
analyze/xlsl_e2e_latency.py,os,,2,import,False
analyze/xlsl_e2e_latency.py,analyze.pattern,analyze/pattern.py,3,from,True
analyze/xlsl_max_tp.py,pandas,,1,import,False
analyze/xlsl_max_tp.py,argparse,,2,import,False
analyze/xlsl_max_tp.py,os,,2,import,False
analyze/xlsl_max_tp.py,analyze.pattern,analyze/pattern.py,3,from,True
analyze/xlsl_min_core.py,pandas,,1,import,False
analyze/xlsl_min_core.py,argparse,,2,import,False
analyze/xlsl_min_core.py,os,,2,import,False
analyze/xlsl_min_core.py,analyze.pattern,analyze/pattern.py,3,from,True
analyze/xlsl_safe_scalable.py,pandas,,1,import,False
analyze/xlsl_safe_scalable.py,argparse,,2,import,False
analyze/xlsl_safe_scalable.py,os,,2,import,False
appoach_plot6.py,example.bm4,example/bm4.py,2,from,True
appoach_plot6.py,sys,,4,import,False
appoach_plot6.py,os,,5,import,False
appoach_plot6.py,approach_util33,approach_util33.py,8,from,True
approach_Eq.py,math,,4,import,False
approach_Eq.py,typing,,5,from-external-or-unresolved,False
approach_Eq.py,global_var,global_var.py,6,from,True
approach_Eq.py,sched.ref_alloc_search,sched/ref_alloc_search.py,7,from,True
approach_Eq.py,scipy.stats,,9,from-external-or-unresolved,False
approach_Eq.py,scipy.stats,,10,from-external-or-unresolved,False
approach_Eq.py,numpy,,11,import,False
approach_Eq.py,numpy,,54,import,False
approach_collector.py,__future__,,1,from-external-or-unresolved,False
approach_collector.py,typing,,2,import,False
approach_collector.py,typing,,5,from-external-or-unresolved,False
approach_collector.py,collections,,6,from-external-or-unresolved,False
approach_collector.py,re,,7,import,False
approach_collector.py,json,,8,import,False
approach_collector.py,os,,9,import,False
approach_collector.py,functools,,10,from-external-or-unresolved,False
approach_collector.py,approach_Eq,approach_Eq.py,11,from,True
approach_collector.py,ref_tdigest,ref_tdigest.py,12,from,True
approach_collector.py,numpy,,13,import,False
approach_collector.py,matplotlib.pyplot,,14,import,False
approach_collector.py,approach_def,approach_def.py,4,from,True
approach_collector.py,test_approach_collector,test_approach_collector.py,2714,from,True
approach_collector.py,matplotlib.ticker,,921,from-external-or-unresolved,False
approach_collector.py,collections,,1061,from-external-or-unresolved,False
approach_collector.py,matplotlib.pyplot,,1162,import,False
approach_collector.py,matplotlib.patches,,1532,from-external-or-unresolved,False
approach_collector.py,matplotlib.lines,,1533,from-external-or-unresolved,False
approach_collector.py,matplotlib.pyplot,,2244,import,False
approach_collector.py,numpy,,2245,import,False
approach_collector.py,re,,837,import,False
approach_collector.py,matplotlib.patches,,1320,from-external-or-unresolved,False
approach_collector.py,matplotlib.patches,,1451,from-external-or-unresolved,False
approach_def.py,__future__,,1,from-external-or-unresolved,False
approach_def.py,typing,,2,import,False
approach_def.py,networkx,,6,import,False
approach_def.py,itertools,,7,from-external-or-unresolved,False
approach_def.py,queue,,8,from-external-or-unresolved,False
approach_def.py,collections,,10,from-external-or-unresolved,False
approach_def.py,typing,,11,from-external-or-unresolved,False
approach_def.py,utils,utils.py,12,from,True
approach_def.py,warnings,,14,from-external-or-unresolved,False
approach_def.py,numpy,,15,import,False
approach_def.py,time,,16,import,False
approach_def.py,approach_Eq,approach_Eq.py,17,from,True
approach_def.py,re,,36,import,False
approach_def.py,approach_collector,approach_collector.py,4,from,True
approach_def.py,sys,,614,import,False
approach_initiator.py,utils,utils.py,1,from,True
approach_initiator.py,global_var,global_var.py,3,from,True
approach_initiator.py,approach_Eq,approach_Eq.py,5,from,True
approach_initiator.py,approach_def,approach_def.py,8,from,True
approach_initiator.py,approach_sched,approach_sched.py,15,from,True
approach_initiator.py,approach_collector,approach_collector.py,16,from,True
approach_initiator.py,task.task_cfg,task/task_cfg.py,105,from,True
approach_sched.py,__future__,,1,from-external-or-unresolved,False
approach_sched.py,typing,,2,import,False
approach_sched.py,networkx,,6,import,False
approach_sched.py,collections,,8,from-external-or-unresolved,False
approach_sched.py,utils,utils.py,9,from,True
approach_sched.py,functools,,10,import,False
approach_sched.py,types,,11,import,False
approach_sched.py,itertools,,12,from-external-or-unresolved,False
approach_sched.py,warnings,,13,from-external-or-unresolved,False
approach_sched.py,approach_Eq,approach_Eq.py,14,from,True
approach_sched.py,approach_def,approach_def.py,23,from,True
approach_sched.py,approach_collector,approach_collector.py,4,from,True
approach_setup.py,task.task_cfg,task/task_cfg.py,2,from,True
approach_setup.py,sim_main,sim_main.py,3,from,True
approach_setup.py,global_var,global_var.py,8,from,True
approach_setup.py,approach_initiator,approach_initiator.py,9,from,True
approach_setup.py,contextlib,,25,from-external-or-unresolved,False
approach_sim.py,__future__,,1,from-external-or-unresolved,False
approach_sim.py,typing,,2,import,False
approach_sim.py,typing,,6,from-external-or-unresolved,False
approach_sim.py,itertools,,7,from-external-or-unresolved,False
approach_sim.py,approach_def,approach_def.py,8,from,True
approach_sim.py,approach_sched,approach_sched.py,9,from,True
approach_sim.py,global_var,global_var.py,10,from,True
approach_sim.py,approach_Eq,approach_Eq.py,11,from,True
approach_sim.py,approach_initiator,approach_initiator.py,12,from,True
approach_sim.py,approach_Eq,approach_Eq.py,13,from,True
approach_sim.py,utils,utils.py,14,from,True
approach_sim.py,global_var,global_var.py,15,from,True
approach_sim.py,approach_def,approach_def.py,4,from,True
approach_sim.py,approach_collector,approach_collector.py,5,from,True
approach_sim.py,argparse,,171,import,False
approach_sim.py,example.bm4,example/bm4.py,185,from,True
approach_sim.py,approach_def,approach_def.py,191,from,True
approach_util33.py,networkx,,1,import,False
approach_util33.py,queue,,2,from-external-or-unresolved,False
approach_util33.py,example.bm4,example/bm4.py,3,from,True
approach_util33.py,collections,,4,from-external-or-unresolved,False
approach_util33.py,math,,5,import,False
approach_util33.py,utils,utils.py,6,from,True
debug_sink_constraint.py,math,,6,import,False
debug_sink_constraint.py,collections,,7,from-external-or-unresolved,False
global_var.py,math,,1,import,False
global_var.py,os,,2,import,False
main_approach.py,argparse,,1,import,False
main_approach.py,os,,2,import,False
main_approach.py,pickle,,3,import,False
main_approach.py,approach_def,approach_def.py,4,from,True
main_approach.py,approach_sched,approach_sched.py,5,from,True
main_approach.py,global_var,global_var.py,6,from,True
main_approach.py,approach_Eq,approach_Eq.py,7,from,True
main_approach.py,approach_initiator,approach_initiator.py,8,from,True
main_approach.py,approach_sim,approach_sim.py,9,from,True
main_approach.py,approach_setup,approach_setup.py,10,from,True
main_approach.py,utils,utils.py,11,from,True
main_approach.py,utils,utils.py,12,from,True
mapper/mem_planner.py,__future__,,24,from-external-or-unresolved,False
mapper/mem_planner.py,typing,,25,from-external-or-unresolved,False
mapper/mem_planner.py,dataclasses,,26,from-external-or-unresolved,False
mapper/mem_planner.py,collections,,27,from-external-or-unresolved,False
mapper/mem_planner.py,os,,28,import,False
mapper/mem_planner.py,json,,28,import,False
mapper/mem_planner.py,numpy,,29,import,False
mapper/mem_planner.py,matplotlib.pyplot,,30,import,False
mapper/mem_planner.py,matplotlib.colors,,31,import,False
mapper/mem_planner.py,utils,utils.py,32,from,True
mapper/mem_planner.py,global_var,global_var.py,33,from,True
mapper/mem_planner.py,tqdm,,34,from-external-or-unresolved,False
model/buffer.py,__future__,,6,from-external-or-unresolved,False
model/buffer.py,collections,,7,import,False
model/buffer.py,typing,,8,import,False
model/buffer.py,copy,,9,import,False
model/buffer.py,queue,,10,from-external-or-unresolved,False
model/buffer.py,model.message.Context_message,model/message/Context_message.py,11,from,True
model/buffer.py,task.task_agent,task/task_agent.py,13,from,True
model/event_gen/e2e_latency.py,__future__,,1,from-external-or-unresolved,False
model/event_gen/e2e_latency.py,scipy.stats,,2,from-external-or-unresolved,False
model/event_gen/e2e_latency.py,typing,,3,from-external-or-unresolved,False
model/event_gen/e2e_latency.py,global_var,global_var.py,4,from,True
model/event_gen/e2e_latency.py,numpy,,5,import,False
model/lru.py,collections,,1,from-external-or-unresolved,False
model/lru.py,copy,,2,from-external-or-unresolved,False
model/message/Context_message.py,__future__,,1,from-external-or-unresolved,False
model/message/Context_message.py,typing,,2,from-external-or-unresolved,False
model/message/Context_message.py,typing,,3,from-external-or-unresolved,False
model/message/Context_message.py,networkx,,4,import,False
model/message/Context_message.py,functools,,5,from-external-or-unresolved,False
model/message/Context_message.py,re,,6,import,False
model/message/Context_message.py,numpy,,7,import,False
model/message/Context_message.py,argparse,,8,import,False
model/message/Context_message.py,pickle,,10,import,False
model/message/Context_message.py,pandas,,11,import,False
model/message/Context_message.py,copy,,12,import,False
model/message/Context_message.py,os,,13,import,False
model/message/Context_message.py,model.buffer,model/buffer.py,17,from,True
model/message/Context_message.py,task.task_agent,task/task_agent.py,18,from,True
model/message/Context_message.py,model.trace_example,model/trace_example.py,341,from,True
model/message/data_pipe.py,math,,19,import,False
model/message/data_pipe.py,model.task_queue_agent,model/task_queue_agent.py,20,from,True
model/message/data_pipe.py,model.buffer,model/buffer.py,21,from,True
model/message/data_pipe.py,typing,,22,from-external-or-unresolved,False
model/message/data_pipe.py,model.event_gen.e2e_latency,model/event_gen/e2e_latency.py,23,from,True
model/message/data_pipe.py,model.performance,model/performance.py,24,from,True
model/message/message_handler.py,__future__,,1,from-external-or-unresolved,False
model/message/message_handler.py,typing,,2,from-external-or-unresolved,False
model/message/message_handler.py,typing,,3,from-external-or-unresolved,False
model/message/message_handler.py,global_var,global_var.py,4,from,True
model/message/message_handler.py,numpy,,5,import,False
model/message/message_handler.py,model.message.Context_message,model/message/Context_message.py,6,from,True
model/message/message_handler.py,task.task_agent,task/task_agent.py,9,from,True
model/message/message_handler.py,model.message.data_pipe,model/message/data_pipe.py,10,from,True
model/message/message_handler.py,model.task_queue_agent,model/task_queue_agent.py,11,from,True
model/message/msg_dispatcher.py,queue,,2,from-external-or-unresolved,False
model/message/msg_dispatcher.py,model.buffer,model/buffer.py,3,from,True
model/noc.py,ctypes,,2,from-external-or-unresolved,False
model/noc.py,typing,,3,from-external-or-unresolved,False
model/noc.py,numpy,,4,import,False
model/noc.py,scipy.interpolate,,5,import,False
model/noc.py,scipy.interpolate,,6,from-external-or-unresolved,False
model/performance.py,global_var,global_var.py,1,from,True
model/resource_agent.py,__future__,,1,from-external-or-unresolved,False
model/resource_agent.py,typing,,2,import,False
model/resource_agent.py,global_var,global_var.py,9,from,True
model/resource_agent.py,typing,,10,from-external-or-unresolved,False
model/resource_agent.py,model.event_gen.e2e_latency,model/event_gen/e2e_latency.py,11,from,True
model/resource_agent.py,model.performance,model/performance.py,12,from,True
model/resource_agent.py,functools,,13,from-external-or-unresolved,False
model/resource_agent.py,task.task_agent,task/task_agent.py,4,from,True
model/resource_agent.py,model.task_queue_agent,model/task_queue_agent.py,5,from,True
model/resource_agent.py,model.resource_agent,model/resource_agent.py,6,from,True
model/resource_agent.py,sched.scheduling_table,sched/scheduling_table.py,7,from,True
model/streaming_processing/wartermark_strategy.py,__future__,,1,from-external-or-unresolved,False
model/streaming_processing/wartermark_strategy.py,typing,,2,from-external-or-unresolved,False
model/streaming_processing/wartermark_strategy.py,typing,,3,from-external-or-unresolved,False
model/streaming_processing/wartermark_strategy.py,warnings,,7,import,False
model/streaming_processing/wartermark_strategy.py,math,,8,import,False
model/streaming_processing/wartermark_strategy.py,copy,,8,import,False
model/streaming_processing/wartermark_strategy.py,numpy,,9,import,False
model/streaming_processing/wartermark_strategy.py,typing,,10,from-external-or-unresolved,False
model/streaming_processing/wartermark_strategy.py,global_var,global_var.py,11,from,True
model/streaming_processing/wartermark_strategy.py,task.task_agent,task/task_agent.py,5,from,True
model/streaming_processing/wartermark_strategy.py,model.buffer,model/buffer.py,6,from,True
model/streaming_processing/wartermark_strategy.py,model.buffer,model/buffer.py,297,from,True
model/task_queue_agent.py,queue,,1,from-external-or-unresolved,False
model/task_queue_agent.py,typing,,5,from-external-or-unresolved,False
optimizer/delta_ver.py,torch,,1,import,False
optimizer/delta_ver.py,pyro,,2,import,False
optimizer/delta_ver.py,pyro.poutine,,3,import,False
optimizer/delta_ver.py,pyro.infer,,4,from-external-or-unresolved,False
optimizer/delta_ver.py,graphviz,,5,from-external-or-unresolved,False
optimizer/delta_ver.py,collections,,6,from-external-or-unresolved,False
optimizer/delta_ver.py,global_var,global_var.py,7,from,True
optimizer/delta_ver.py,collections,,9,from-external-or-unresolved,False
optimizer/delta_ver.py,torch,,11,import,False
optimizer/delta_ver.py,pyro,,12,import,False
optimizer/delta_ver.py,pyro.distributions,,13,import,False
optimizer/delta_ver.py,pyro.infer,,14,from-external-or-unresolved,False
optimizer/delta_ver.py,pyro.optim,,15,from-external-or-unresolved,False
optimizer/delta_ver.py,torch.distributions,,16,from-external-or-unresolved,False
optimizer/delta_ver.py,networkx,,17,import,False
optimizer/delta_ver.py,model.event_gen.e2e_latency,model/event_gen/e2e_latency.py,18,from,True
optimizer/delta_ver.py,pyro.infer.autoguide,,20,from-external-or-unresolved,False
optimizer/delta_ver.py,pyro.infer,,21,from-external-or-unresolved,False
optimizer/delta_ver.py,torchsort,,22,import,False
optimizer/delta_ver.py,pyro.ops.indexing,,23,from-external-or-unresolved,False
optimizer/delta_ver.py,optimizer.scheduler_base,optimizer/scheduler_base.py,24,from,True
optimizer/delta_ver.py,pyro.distributions.util,,25,from-external-or-unresolved,False
optimizer/delta_ver.py,pyro.distributions.transforms,,26,import,False
optimizer/delta_ver.py,optimizer.ops,optimizer/ops.py,31,from,True
optimizer/delta_ver.py,task.task_cfg,task/task_cfg.py,304,from,True
optimizer/delta_ver.py,optimizer.scheduler_base,optimizer/scheduler_base.py,305,from,True
optimizer/dist_custom.py,torch,,1,import,False
optimizer/dist_custom.py,torch.distributions,,2,import,False
optimizer/dist_custom.py,torch.distributions,,3,from-external-or-unresolved,False
optimizer/dist_custom.py,pyro.distributions.torch_distribution,,4,from-external-or-unresolved,False
optimizer/ops.py,torch,,1,import,False
optimizer/ops.py,pyro,,2,import,False
optimizer/ops.py,pyro.distributions,,3,import,False
optimizer/ops.py,pyro.distributions.transforms,,4,import,False
optimizer/ops.py,matplotlib.pyplot,,5,import,False
optimizer/ops.py,seaborn,,6,import,False
optimizer/ops.py,os,,7,import,False
optimizer/ops_test.py,numpy,,1,import,False
optimizer/ops_test.py,matplotlib.pyplot,,2,import,False
optimizer/ops_test.py,matplotlib.widgets,,3,from-external-or-unresolved,False
optimizer/ops_test.py,torch,,4,import,False
optimizer/scheduler_base.py,networkx,,1,import,False
optimizer/scheduler_base.py,graphviz,,2,from-external-or-unresolved,False
optimizer/scheduler_base.py,torch,,4,import,False
optimizer/scheduler_base.py,pyro.poutine,,5,import,False
optimizer/scheduler_base.py,global_var,global_var.py,7,from,True
optimizer/scheduler_base.py,model.event_gen.e2e_latency,model/event_gen/e2e_latency.py,8,from,True
optimizer/scheduler_base.py,utils,utils.py,9,from,True
optimizer/scheduler_base.py,optimizer.dist_custom,optimizer/dist_custom.py,10,from,True
optimizer/scheduler_base.py,scipy.stats,,219,import,False
optimizer/scheduler_base.py,scipy.stats,,160,import,False
paths.py,dataclasses,,1,from-external-or-unresolved,False
paths.py,os,,2,import,False
paths.py,typing,,3,from-external-or-unresolved,False
paths.py,global_var,global_var.py,4,from,True
ref_tdigest.py,__future__,,1,from-external-or-unresolved,False
ref_tdigest.py,typing,,2,import,False
ref_tdigest.py,time,,5,import,False
ref_tdigest.py,tdigest,,6,from-external-or-unresolved,False
ref_tdigest.py,numpy,,7,import,False
ref_tdigest.py,typing,,4,from-external-or-unresolved,False
run/cfg_parser.py,sys,,1,import,False
run/cfg_parser.py,os,,1,import,False
run/cfg_parser.py,utils,utils.py,6,from,True
run/max_core_num_scan.py,subprocess,,49,import,False
run/max_core_num_scan.py,time,,49,import,False
run/max_core_num_scan.py,os,,50,import,False
run/max_core_num_scan.py,argparse,,51,import,False
sched/bin_list_utils.py,typing,,1,from-external-or-unresolved,False
sched/bin_list_utils.py,sched.scheduling_table,sched/scheduling_table.py,2,from,True
sched/bin_list_utils.py,typing,,4,from-external-or-unresolved,False
sched/bin_list_utils.py,collections,,5,from-external-or-unresolved,False
sched/bin_list_utils.py,functools,,7,from-external-or-unresolved,False
sched/bin_list_utils.py,math,,8,import,False
sched/bin_list_utils.py,os,,9,import,False
sched/bin_list_utils.py,numpy,,10,import,False
sched/bin_list_utils.py,model.resource_agent,model/resource_agent.py,11,from,True
sched/bin_list_utils.py,task.task_agent,task/task_agent.py,12,from,True
sched/bin_list_utils.py,global_var,global_var.py,13,from,True
sched/bin_list_utils.py,global_var,global_var.py,14,from,True
sched/bin_list_utils.py,utils,utils.py,15,from,True
sched/bin_list_utils.py,matplotlib.colors,,17,import,False
sched/bin_list_utils.py,matplotlib,,18,from-external-or-unresolved,False
sched/bin_list_utils.py,model.lru,model/lru.py,27,from,True
sched/bin_list_utils.py,matplotlib.colors,,642,import,False
sched/bin_list_utils.py,matplotlib,,643,import,False
sched/bin_list_utils.py,matplotlib.colors,,711,import,False
sched/bin_list_utils.py,matplotlib,,712,import,False
sched/bin_list_utils.py,matplotlib.lines,,298,from-external-or-unresolved,False
sched/bin_list_utils.py,matplotlib.lines,,604,from-external-or-unresolved,False
sched/bin_list_utils.py,matplotlib.lines,,927,from-external-or-unresolved,False
sched/bin_ops.py,__future__,,1,from-external-or-unresolved,False
sched/bin_ops.py,typing,,2,from-external-or-unresolved,False
sched/bin_ops.py,numpy,,8,import,False
sched/bin_ops.py,warnings,,9,import,False
sched/bin_ops.py,global_var,global_var.py,10,from,True
sched/bin_ops.py,sched.sort_function,sched/sort_function.py,11,from,True
sched/bin_ops.py,sched.scheduling_table,sched/scheduling_table.py,12,from,True
sched/bin_ops.py,task.task_agent,task/task_agent.py,4,from,True
sched/bin_ops.py,typing,,5,from-external-or-unresolved,False
sched/bin_ops.py,model.lru,model/lru.py,6,from,True
sched/binpack_config.py,__future__,,1,from-external-or-unresolved,False
sched/binpack_config.py,typing,,2,from-external-or-unresolved,False
sched/binpack_config.py,approach_Eq,approach_Eq.py,5,from,True
sched/global_sched.py,__future__,,1,from-external-or-unresolved,False
sched/global_sched.py,typing,,2,from-external-or-unresolved,False
sched/global_sched.py,math,,8,import,False
sched/global_sched.py,collections,,9,from-external-or-unresolved,False
sched/global_sched.py,numpy,,10,import,False
sched/global_sched.py,global_var,global_var.py,11,from,True
sched/global_sched.py,model.resource_agent,model/resource_agent.py,12,from,True
sched/global_sched.py,model.task_queue_agent,model/task_queue_agent.py,13,from,True
sched/global_sched.py,model.buffer,model/buffer.py,14,from,True
sched/global_sched.py,model.message.msg_dispatcher,model/message/msg_dispatcher.py,15,from,True
sched/global_sched.py,model.message.message_handler,model/message/message_handler.py,16,from,True
sched/global_sched.py,model.streaming_processing.wartermark_strategy,model/streaming_processing/wartermark_strategy.py,17,from,True
sched/global_sched.py,model.message.data_pipe,model/message/data_pipe.py,18,from,True
sched/global_sched.py,model.position_table,model/position_table.py,19,from,True
sched/global_sched.py,model.performance,model/performance.py,20,from,True
sched/global_sched.py,sched.monitor_agent,sched/monitor_agent.py,22,from,True
sched/global_sched.py,sched.scheduler_agent,sched/scheduler_agent.py,23,from,True
sched/global_sched.py,sched.scheduler_agent,sched/scheduler_agent.py,24,from,True
sched/global_sched.py,sched.pre_alloc,sched/pre_alloc.py,25,from,True
sched/global_sched.py,sched.pre_alloc_new,sched/pre_alloc_new.py,26,from,True
sched/global_sched.py,sched.bin_ops,sched/bin_ops.py,27,from,True
sched/global_sched.py,sched.sort_function,sched/sort_function.py,28,from,True
sched/global_sched.py,sched.packing_solver.gurobi_MP_semi2DClst,sched/packing_solver/gurobi_MP_semi2DClst.py,29,from,True
sched/global_sched.py,sched.monitor_agent,sched/monitor_agent.py,30,from,True
sched/global_sched.py,sched.bin_ops,sched/bin_ops.py,31,from,True
sched/global_sched.py,networkx,,32,from-external-or-unresolved,False
sched/global_sched.py,functools,,33,from-external-or-unresolved,False
sched/global_sched.py,sched.slack_estim,sched/slack_estim.py,34,from,True
sched/global_sched.py,sched.scheduling_table,sched/scheduling_table.py,35,from,True
sched/global_sched.py,sched.binpack_config,sched/binpack_config.py,36,from,True
sched/global_sched.py,task.task_agent,task/task_agent.py,4,from,True
sched/global_sched.py,typing,,5,from-external-or-unresolved,False
sched/global_sched.py,sched.scheduling_table,sched/scheduling_table.py,6,from,True
sched/global_sched.py,task.task_cfg,task/task_cfg.py,312,from,True
sched/global_sched.py,mapper.mem_planner,mapper/mem_planner.py,337,from,True
sched/global_sched.py,json,,365,import,False
sched/global_sched.py,collections,,914,from-external-or-unresolved,False
sched/monitor_agent.py,typing,,1,from-external-or-unresolved,False
sched/monitor_agent.py,sched.scheduling_table,sched/scheduling_table.py,2,from,True
sched/monitor_agent.py,sched.scheduling_table,sched/scheduling_table.py,3,from,True
sched/packing_solver/chain_slack_assign.py,typing,,1,from-external-or-unresolved,False
sched/packing_solver/chain_slack_assign.py,gurobipy,,2,import,False
sched/packing_solver/chain_slack_assign.py,gurobipy,,3,from-external-or-unresolved,False
sched/packing_solver/chain_slack_assign.py,utils,utils.py,4,from,True
sched/packing_solver/chain_slack_assign.py,global_var,global_var.py,5,from,True
sched/packing_solver/chain_slack_assign.py,approach_Eq,approach_Eq.py,7,from,True
sched/packing_solver/chain_slack_assign.py,sched.ref_alloc_search,sched/ref_alloc_search.py,8,from,True
sched/packing_solver/chain_slack_assign.py,approach_Eq,approach_Eq.py,10,from,True
sched/packing_solver/chain_slack_assign.py,collections,,11,from-external-or-unresolved,False
sched/packing_solver/chain_slack_assign.py,math,,12,import,False
sched/packing_solver/fit.py,numpy,,1,import,False
sched/packing_solver/fit.py,matplotlib.pyplot,,2,import,False
sched/packing_solver/fit.py,scipy.optimize,,3,from-external-or-unresolved,False
sched/packing_solver/fit.py,scipy.stats,,4,import,False
sched/packing_solver/gurobi_MP_semi2DClst.py,gurobipy,,1,import,False
sched/packing_solver/gurobi_MP_semi2DClst.py,gurobipy,,2,from-external-or-unresolved,False
sched/packing_solver/gurobi_MP_semi2DClst.py,sys,,3,import,False
sched/packing_solver/gurobi_MP_semi2DClst.py,utils,utils.py,4,from,True
