referenced_path,referrer,line,term,snippet
sched/__init__.py,.trae/documents/plan_20260212_195149.md,2,sched,"1.  **Spec对齐检查**：`scripts/abla_exp_runner.py` 中的 `AblaExp1Runner`, `AblaExp2Runner`, `AblaExp3Runner` 逻辑与 `doc/spec/e2e_sched_sim_flow.md` 中的定义完全一致。"
scripts/abla_exp_runner.py,.trae/documents/plan_20260212_195149.md,2,scripts/abla_exp_runner.py,"1.  **Spec对齐检查**：`scripts/abla_exp_runner.py` 中的 `AblaExp1Runner`, `AblaExp2Runner`, `AblaExp3Runner` 逻辑与 `doc/spec/e2e_sched_sim_flow.md` 中的定义完全一致。"
.cursor/rules/reference.mdc,CLAUDE.md,207,reference,"**Rule**: spec docs reference each other with relative paths from `doc/spec/`. E.g., `./algorithm/chain_slack_assignment_algorithm.md`."
README.md,CLAUDE.md,185,README.md,    │       │       ├── motiv_case_api_README.md
allocator_agent.py,CLAUDE.md,35,allocator_agent.py,"| Resource allocation (runtime) | `allocator_agent.py` (glb_sched, cyclic_sched) |"
analyze/__init__.py,CLAUDE.md,352,analyze,"- **zai-mcp image tools** (`analyze_image`, `analyze_data_visualization`, etc.) only support `.jpg`, `.jpeg`, `.png` — **not PDF**. Convert PDF plots to PNG first if image analysis is needed."
analyze/pattern.py,CLAUDE.md,118,pattern,5. **Quantile changes don't affect window positions** — same `var_factor` pattern means `flops_dict[node]/flops_rem` stays constant; see `chain_slack_assign.py:287`
approach_collector.py,CLAUDE.md,23,approach_collector.py,| Statistics collection | `approach_collector.py:StatisticsCollector` |
approach_def.py,CLAUDE.md,24,approach_def.py,| **Algorithm 2 runtime overhead** | `approach_def.py:Acc_p.sched()` + `approach_collector.py:record_sched_overhead()` |
approach_sched.py,CLAUDE.md,131,approach_sched.py,"> **Python pitfall**: `policy in [""cyc"" or ""cyc-S""]` evaluates to `[""cyc""]` (truthy short-circuit). Correct: `policy in [""cyc"", ""cyc-S""]` — see `approach_sched.py:303`."
approach_setup.py,CLAUDE.md,16,approach_setup.py,| Benchmark setup pipeline | `approach_setup.py:setup_benchmark()` |
approach_sim.py,CLAUDE.md,22,approach_sim.py,| Event-driven simulation | `approach_sim.py:run_simulation()` |
cfgs/Bp_guided.json,CLAUDE.md,135,Bp_guided.json,"`BinPackConfig` (`sched/binpack_config.py`) wraps a JSON (e.g., `Bp_guided.json`). Key fields:"
doc/dev/ablation_dev.md,CLAUDE.md,32,doc/dev/ablation_dev.md,| Repack debug history | `doc/dev/ablation_dev.md` §五 Repack 执行验证 |
doc/dev/claude_revise.md,CLAUDE.md,203,claude_revise.md,            ├── claude_revise.md
doc/dev/code_cleanup_2026.md,CLAUDE.md,204,code_cleanup_2026.md,            └── code_cleanup_2026.md
doc/guide/README.md,CLAUDE.md,185,README.md,    │       │       ├── motiv_case_api_README.md
doc/guide/architecture_overview.md,CLAUDE.md,193,architecture_overview.md,    │       ├── architecture_overview.md
doc/guide/collector_overview.md,CLAUDE.md,197,collector_overview.md,    │       ├── collector_overview.md
doc/guide/deprecated_code.md,CLAUDE.md,199,deprecated_code.md,    │       └── deprecated_code.md
doc/guide/exp_scripts_overview.md,CLAUDE.md,194,exp_scripts_overview.md,    │       ├── exp_scripts_overview.md
doc/guide/sched_core_overview.md,CLAUDE.md,195,sched_core_overview.md,    │       ├── sched_core_overview.md
doc/guide/simulation_flow_overview.md,CLAUDE.md,196,simulation_flow_overview.md,    │       ├── simulation_flow_overview.md
doc/guide/task_model_overview.md,CLAUDE.md,198,task_model_overview.md,    │       ├── task_model_overview.md
doc/sim_flow.md,CLAUDE.md,160,sim_flow.md,    │       ├── doc/spec/e2e_sched_sim_flow.md   ⭐⭐  Design spec
doc/spec/algorithm/binpack_solver_spec.md,CLAUDE.md,169,binpack_solver_spec.md,    │       │       └── binpack_solver_spec.md
doc/spec/algorithm/chain_slack_assignment_algorithm.md,CLAUDE.md,168,chain_slack_assignment_algorithm.md,    │       │       ├── chain_slack_assignment_algorithm.md    ← Step 1 (deduce_cfg2)
doc/spec/algorithm/guided_hybrid_allocation_algorithm.md,CLAUDE.md,167,guided_hybrid_allocation_algorithm.md,    │       │       ├── guided_hybrid_allocation_algorithm.md  ← two-phase bin-packing
doc/spec/cfg/binpack_config_design.md,CLAUDE.md,144,doc/spec/cfg/binpack_config_design.md,Full design: `doc/spec/cfg/binpack_config_design.md`
doc/spec/e2e_sched_sim_flow.md,CLAUDE.md,160,doc/spec/e2e_sched_sim_flow.md,    │       ├── doc/spec/e2e_sched_sim_flow.md   ⭐⭐  Design spec
doc/spec/exp_design/motiv_case_api_README.md,CLAUDE.md,185,motiv_case_api_README.md,    │       │       ├── motiv_case_api_README.md
doc/spec/exp_design/motiv_case_api_usage.md,CLAUDE.md,187,motiv_case_api_usage.md,    │       │       ├── motiv_case_api_usage.md
doc/spec/exp_design/motiv_case_plotting_examples.md,CLAUDE.md,188,motiv_case_plotting_examples.md,    │       │       └── motiv_case_plotting_examples.md
doc/spec/key_COT.md,CLAUDE.md,157,doc/spec/key_COT.md,    │       ├── doc/spec/key_COT.md              ⭐⭐⭐ Academic logic (HIGHEST)
doc/spec/model/latency_model.md,CLAUDE.md,182,latency_model.md,    │       │       └── latency_model.md                ← latency model spec
doc/spec/readme.md,CLAUDE.md,129,doc/spec/readme.md,"> **Common pitfalls**: see `doc/spec/readme.md §4` — covers: glb needs Step 1, reserv dual mechanism, Exp 2/3 resource control via load intensity NOT ratioA, cyc-S requires repack."
doc/spec/sim/approach_sim_spec.md,CLAUDE.md,178,approach_sim_spec.md,    │       │       ├── approach_sim_spec.md             ← event-driven sim spec
doc/spec/sim/simulation_numerical_design.md,CLAUDE.md,179,simulation_numerical_design.md,    │       │       └── simulation_numerical_design.md
doc/spec/stat/collector.md,CLAUDE.md,174,collector.md,    │       │       ├── collector.md                     ← E2E latency decomposition (authoritative)
doc/spec/stat/runtime_overhead_spec.md,CLAUDE.md,175,runtime_overhead_spec.md,    │       │       └── runtime_overhead_spec.md         ← Algorithm 2 runtime overhead (reviewer Q3)
doc/spec/stat/statistics_collection_spec.md,CLAUDE.md,173,statistics_collection_spec.md,    │       │       ├── statistics_collection_spec.md    ← StatisticsCollector arch
doc/spec/stat/tdigest_system_spec.md,CLAUDE.md,172,tdigest_system_spec.md,    │       │       ├── tdigest_system_spec.md           ← T-Digest algo
doc/spec/test_plan.md,CLAUDE.md,163,doc/spec/test_plan.md,    │       ├── doc/spec/test_plan.md             ⭐    Implementation details
main_approach.py,CLAUDE.md,15,main_approach.py,| Main entry point | `main_approach.py:main()` |
model/__init__.py,CLAUDE.md,181,model,    │       ├── doc/spec/model/
model/event_gen/e2e_latency.py,CLAUDE.md,109,e2e_latency,| `e2e_latency` | End-to-end latency constraint | 0.1 s |
output.pdf,CLAUDE.md,31,output,"| Repack debug diagnostics | `sim_main.py:508-583`, `approach_setup.py:127-133` (stderr output) |"
output.txt,CLAUDE.md,31,output,"| Repack debug diagnostics | `sim_main.py:508-583`, `approach_setup.py:127-133` (stderr output) |"
paths.py,CLAUDE.md,36,paths.py,| Path resolution | `paths.py` |
profiling/profiling.csv,CLAUDE.md,94,profiling,| 0 | `build_workload_and_criticality` | profiling CSV + args | **Yes** |
run/clean.sh,CLAUDE.md,204,clean,            └── code_cleanup_2026.md
sched/__init__.py,CLAUDE.md,18,sched,| Slack allocation formula | `sched/packing_solver/chain_slack_assign.py:287` — `ideal_cores = ceil(flops_rem/(slack_rem*FLOPS_PER_CORE))` |
sched/binpack_config.py,CLAUDE.md,26,sched/binpack_config.py,| Bin-packing config | `sched/binpack_config.py:BinPackConfig` |
sched/global_sched.py,CLAUDE.md,19,sched/global_sched.py,| Bin-packing (Phase 1 split) | `sched/global_sched.py:coleasing_alloc_cluster()` |
sched/monitor_agent.py,CLAUDE.md,40,sched/monitor_agent.py,- `sched/monitor_agent.py` — replaced by `approach_collector.py`
sched/packing_solver/chain_slack_assign.py,CLAUDE.md,18,sched/packing_solver/chain_slack_assign.py,| Slack allocation formula | `sched/packing_solver/chain_slack_assign.py:287` — `ideal_cores = ceil(flops_rem/(slack_rem*FLOPS_PER_CORE))` |
sched/placement.py,CLAUDE.md,97,placement,| 3 | `push_task_into_bins_new` | `exec_t_comp_ratioB` | reserv only; fallback to Phase 1 on incomplete placement |
sched/scheduler_agent.py,CLAUDE.md,39,sched/scheduler_agent.py,- `sched/scheduler_agent.py` — replaced by `approach_sim.py`
sched/scheduling_table.py,CLAUDE.md,117,scheduling_table,4. **Repack failure is algorithm incompatibility** — `extract_pid2_bin_id()` clears scheduling_table; greedy cannot reproduce ILP's temporal allocation → fallback to Phase 1 layout
sched/slack_estim.py,CLAUDE.md,21,sched/slack_estim.py,| Per-task deadline calculation (Step 1) | `sched/slack_estim.py:deduce_cfg2()` |
scripts/abla_exp_runner.py,CLAUDE.md,30,scripts/abla_exp_runner.py,| Run experiment (ablation) | `scripts/abla_exp_runner.py` |
scripts/exp_common.py,CLAUDE.md,34,scripts/exp_common.py,"| Shared experiment utilities | `scripts/exp_common.py` (ParamTemplate, run_main_approach_inproc) |"
scripts/motiv_exp_runner.py,CLAUDE.md,29,scripts/motiv_exp_runner.py,| Run experiment (motiv) | `scripts/motiv_exp_runner.py` |
scripts/run_abla_exps.sh,CLAUDE.md,231,scripts/run_abla_exps.sh,bash scripts/run_abla_exps.sh [output_dir] [num_hp]
scripts/run_motiv_exps.sh,CLAUDE.md,220,scripts/run_motiv_exps.sh,bash scripts/run_motiv_exps.sh [output_dir]
sim_main.py,CLAUDE.md,17,sim_main.py,"| Bin-packing core (both phases) | `sim_main.py:perform_bin_packing()` — handles Phase 1, repack, backup/fallback |"
task/task_agent.py,CLAUDE.md,25,task/task_agent.py,| Task representation | `task/task_agent.py:ProcessInt` |
test_repack_diagnostic.py,CLAUDE.md,33,test_repack_diagnostic.py,| Debug test script | `test_repack_diagnostic.py` (standalone repack verification) |
unused_fun.py,CLAUDE.md,41,unused_fun.py,"- `unused_fun.py`, `old/`, `ref/` — dead code"
utils.py,CLAUDE.md,329,utils.py,| Parameter not passed through | `binpack_cfg` update missed | `utils.py:build_path_old()` |
approach_collector.py,GUROBI_ENV_TESTING_SUMMARY.md,27,approach_collector.py,#### 2. 完整测试脚本 (`test_approach_collector.py`)
doc/spec/stat/collector.md,GUROBI_ENV_TESTING_SUMMARY.md,15,collector,#### 1. 简化测试脚本 (`simple_test_collector.py`)
ref_tdigest.py,GUROBI_ENV_TESTING_SUMMARY.md,9,ref_tdigest.py,- **TDigest**: 可用 (通过 `ref_tdigest.py`)
simple_test_collector.py,GUROBI_ENV_TESTING_SUMMARY.md,15,simple_test_collector.py,#### 1. 简化测试脚本 (`simple_test_collector.py`)
test_approach_collector.py,GUROBI_ENV_TESTING_SUMMARY.md,27,test_approach_collector.py,#### 2. 完整测试脚本 (`test_approach_collector.py`)
sched/__init__.py,README.md,1,sched,# scheduler
approach_collector.py,TEST_SCRIPT_UPDATE_SUMMARY.md,5,approach_collector.py,本次更新对 `approach_collector.py` 的测试脚本进行了全面改进，创建了更加完善和独立的测试框架。
doc/spec/stat/collector.md,TEST_SCRIPT_UPDATE_SUMMARY.md,5,collector,本次更新对 `approach_collector.py` 的测试脚本进行了全面改进，创建了更加完善和独立的测试框架。
sched/__init__.py,TEST_SCRIPT_UPDATE_SUMMARY.md,143,sched,scheduler/
simple_test_collector.py,TEST_SCRIPT_UPDATE_SUMMARY.md,24,simple_test_collector.py,#### 2.2 `simple_test_collector.py` ⭐
test_approach_collector.py,TEST_SCRIPT_UPDATE_SUMMARY.md,19,test_approach_collector.py,#### 2.1 `test_approach_collector.py`
sched/__init__.py,TODO.md,4,sched,2. dyn_sched 对于正在运行的任务，发生配置变化的时候，不能触发调度决策
.claude/settings.json,allocator_agent.py,598,settings,    # simlation settings
__init__.py,allocator_agent.py,13,__init__,"    def __init__(self, ):"
analyze/__init__.py,allocator_agent.py,13,__init__,"    def __init__(self, ):"
doc/setting.md,allocator_agent.py,598,setting,    # simlation settings
doc/sparse_list.md,allocator_agent.py,285,sparse_list,        if sched._SchedTab.num_resources <= 0 or len(sched._SchedTab.sparse_list) == 0:
doc/verification/jitter_sim.pdf,allocator_agent.py,604,jitter_sim,"    # event_iter_dict = gen_sensor_event(glb_p_list, hyper_p, num_periods, True, args.jitter_sim_en, args.jitter_sim_para, args.seed)"
global_var.py,allocator_agent.py,86,global_var,from global_var import *
mapper/__init__.py,allocator_agent.py,13,__init__,"    def __init__(self, ):"
model/__init__.py,allocator_agent.py,13,__init__,"    def __init__(self, ):"
model/buffer.py,allocator_agent.py,6,buffer,"from model.buffer import Buffer, Data"
model/event_gen/e2e_latency.py,allocator_agent.py,443,e2e_latency,                        if e2e_ddl != scheduler_list[0].e2e_latency:
model/message/Context_message.py,allocator_agent.py,99,Context_message,from model.message.Context_message import ContextMsg
model/message/data_pipe.py,allocator_agent.py,98,data_pipe,"from model.message.data_pipe import DataPipe, TriggerPipe"
model/message/message_handler.py,allocator_agent.py,9,message_handler,"from model.message.message_handler import message_trigger_event_new, period_trigger_event, period_trigger_event"
model/message/message_pipe.py,allocator_agent.py,8,message_pipe,from model.message.message_pipe import MessagePipe
model/message/msg_dispatcher.py,allocator_agent.py,7,msg_dispatcher,from model.message.msg_dispatcher import MsgDispatcher
model/resource_agent.py,allocator_agent.py,84,resource_agent,from model.resource_agent import Resource_model_int
model/streaming_processing/__init__.py,allocator_agent.py,13,__init__,"    def __init__(self, ):"
model/task_queue_agent.py,allocator_agent.py,88,task_queue_agent,from model.task_queue_agent import TaskQueue 
profiling/profiling.csv,allocator_agent.py,568,profiling/profiling.csv,"    if args.profiling_filename == ""profiling/profiling.csv"":"
run/clean.sh,allocator_agent.py,543,clean,                    event_clean_flg = not np.any([len(name2p[name].event_triggers) for name in event_iter_dict])
sched/__init__.py,allocator_agent.py,13,__init__,"    def __init__(self, ):"
sched/bin_list_utils.py,allocator_agent.py,663,bin_list_utils,        from sched.bin_list_utils import get_task_layout_compact
sched/global_sched.py,allocator_agent.py,564,global_sched,    from sched.global_sched import push_task_into_bins_new
sched/monitor_agent.py,allocator_agent.py,92,monitor_agent,from sched.monitor_agent import Monitor
sched/scheduler_agent.py,allocator_agent.py,91,scheduler_agent,"from sched.scheduler_agent import Scheduler, glb_dynamic_sched_step"
sched/scheduling_table.py,allocator_agent.py,83,scheduling_table,from sched.scheduling_table import SchedulingTableInt
task/__init__.py,allocator_agent.py,13,__init__,"    def __init__(self, ):"
task/spec.py,allocator_agent.py,5,task.spec,from task.spec import Spec
task/task_agent.py,allocator_agent.py,4,task_agent,from task.task_agent import TaskInt
task/task_cfg.py,allocator_agent.py,561,task_cfg,"    from task.task_cfg import load_taskint, create_init_p_list"
utils.py,allocator_agent.py,565,utils,    from utils import input_parser
analyze/pattern.py,analyze/UE_extract.py,47,pattern,pattern = r'(\w+)\svar_([\d.]+)\(J\)_([\d.]+)\(T\) (\w+)\.'
analyze/__init__.py,analyze/analyze_ctx_switch.py,6,analyze,from analyze.pattern import *
analyze/analyze_tp.py,analyze/analyze_ctx_switch.py,130,analyze_tp,    from analyze.analyze_tp import get_throughput_extracter
analyze/pattern.py,analyze/analyze_ctx_switch.py,6,pattern,from analyze.pattern import *
output.pdf,analyze/analyze_ctx_switch.py,141,output,"    parser.add_argument(""--output_dir"", type=str, default=""."", help=""output directory"")"
output.txt,analyze/analyze_ctx_switch.py,141,output,"    parser.add_argument(""--output_dir"", type=str, default=""."", help=""output directory"")"
profiling/profiling.csv,analyze/analyze_ctx_switch.py,137,profiling/profiling,"    parser.add_argument(""--profiling_filename"", type=str, default=""profiling/profiling_light.csv"", help=""profiling filename"")"
profiling/profiling_light.csv,analyze/analyze_ctx_switch.py,137,profiling/profiling_light.csv,"    parser.add_argument(""--profiling_filename"", type=str, default=""profiling/profiling_light.csv"", help=""profiling filename"")"
utils.py,analyze/analyze_ctx_switch.py,7,utils,from utils import update_df
analyze/__init__.py,analyze/analyze_timing.py,2,analyze,from analyze.pattern import *
analyze/pattern.py,analyze/analyze_timing.py,2,pattern,from analyze.pattern import *
analyze/stat_num_exec.py,analyze/analyze_timing.py,7,stat_num_exec,from analyze.stat_num_exec import extract_num_exec
model/__init__.py,analyze/analyze_timing.py,8,model,from model.message.Context_message import trace_analyser
model/event_gen/e2e_latency.py,analyze/analyze_timing.py,14,e2e_latency,"def set_percetile(df, data, e2e_latency_list, miss_rate):"
model/message/Context_message.py,analyze/analyze_timing.py,8,Context_message,from model.message.Context_message import trace_analyser
output.pdf,analyze/analyze_timing.py,67,output,"                # false log output: the ones with jitter_en == True but seed == """" and the ones with jitter_en == False but seed != """""
output.txt,analyze/analyze_timing.py,67,output,"                # false log output: the ones with jitter_en == True but seed == """" and the ones with jitter_en == False but seed != """""
profiling/profiling.csv,analyze/analyze_timing.py,202,profiling/profiling,"    parser.add_argument(""--profiling_filename"", type=str, default=""profiling/profiling_light.csv"", help=""profiling filename"")"
profiling/profiling_light.csv,analyze/analyze_timing.py,202,profiling/profiling_light.csv,"    parser.add_argument(""--profiling_filename"", type=str, default=""profiling/profiling_light.csv"", help=""profiling filename"")"
task/task_cfg.py,analyze/analyze_timing.py,214,task_cfg,    from task.task_cfg import load_taskattrib
utils.py,analyze/analyze_timing.py,10,utils,from utils import update_df
analyze/__init__.py,analyze/analyze_tp.py,2,analyze,from analyze.stat_num_exec import extract_num_exec
analyze/pattern.py,analyze/analyze_tp.py,8,pattern,from analyze.pattern import *
analyze/stat_num_exec.py,analyze/analyze_tp.py,2,stat_num_exec,from analyze.stat_num_exec import extract_num_exec
output.pdf,analyze/analyze_tp.py,118,output,"    parser.add_argument(""--output_dir"", type=str, default=""."", help=""output directory"")"
output.txt,analyze/analyze_tp.py,118,output,"    parser.add_argument(""--output_dir"", type=str, default=""."", help=""output directory"")"
profiling/profiling.csv,analyze/analyze_tp.py,111,profiling/profiling,"    parser.add_argument(""--profiling_filename"", type=str, default=""profiling/profiling_light.csv"", help=""profiling filename"")"
profiling/profiling_light.csv,analyze/analyze_tp.py,111,profiling/profiling_light.csv,"    parser.add_argument(""--profiling_filename"", type=str, default=""profiling/profiling_light.csv"", help=""profiling filename"")"
utils.py,analyze/analyze_tp.py,9,utils,from utils import update_df
global_var.py,analyze/pattern.py,5,global_var,"from global_var import case_name_cyc, case_name_dyn, case_name_glb, case_name_pglb, case_name_bp, case_suffix_N_barrier"
model/event_gen/e2e_latency.py,analyze/pattern.py,36,e2e_latency,"    ""cfg_n"": [""aux_scale_factor"", ""e2e_latency"", ""_sen_cp_str"", ""jitter_t_comp_ratio"", ""wsc_slack_ratio"", ""exec_t_comp_ratioA"", ""lateness_mode""], "
.cursor/rules/reference.mdc,analyze/stat_num_exec.py,232,reference,"    argparser.add_argument(""--get_ref_num_exec"", action=""store_true"", help=""get the reference number of execution"")"
analyze/__init__.py,analyze/stat_num_exec.py,8,analyze,from analyze.pattern import get_path_var_scaner
analyze/pattern.py,analyze/stat_num_exec.py,8,pattern,from analyze.pattern import get_path_var_scaner
output.pdf,analyze/stat_num_exec.py,73,output,"def count_miss_comp(folder, output, "
output.txt,analyze/stat_num_exec.py,73,output,"def count_miss_comp(folder, output, "
profiling/profiling.csv,analyze/stat_num_exec.py,229,profiling/profiling,"    argparser.add_argument(""--profiling_filename"", type=str, default=""profiling/profiling_light.csv"", help=""path to task profiling file"")"
profiling/profiling_light.csv,analyze/stat_num_exec.py,229,profiling/profiling_light.csv,"    argparser.add_argument(""--profiling_filename"", type=str, default=""profiling/profiling_light.csv"", help=""path to task profiling file"")"
sched/__init__.py,analyze/stat_num_exec.py,7,sched,from sched.slack_estim import deduce_num_exec
sched/slack_estim.py,analyze/stat_num_exec.py,7,slack_estim,from sched.slack_estim import deduce_num_exec
task/task_cfg.py,analyze/stat_num_exec.py,5,task_cfg,"from task.task_cfg import load_taskattrib, creat_logical_graph"
analyze/__init__.py,analyze/xlsl_e2e_lat_abla.py,15,analyze,"from analyze.pattern import case_name_glb, case_name_dyn, case_name_cyc"
analyze/pattern.py,analyze/xlsl_e2e_lat_abla.py,15,pattern,"from analyze.pattern import case_name_glb, case_name_dyn, case_name_cyc"
model/event_gen/e2e_latency.py,analyze/xlsl_e2e_lat_abla.py,32,e2e_latency,"               (df['e2e_latency'].isin([0.09, 0.1, 0.08])) & \"
output.pdf,analyze/xlsl_e2e_lat_abla.py,19,output,"parser.add_argument(""--root_dir_glb"", type=str, default=""log"", help=""output directory"")"
output.txt,analyze/xlsl_e2e_lat_abla.py,19,output,"parser.add_argument(""--root_dir_glb"", type=str, default=""log"", help=""output directory"")"
analyze/__init__.py,analyze/xlsl_e2e_latency.py,3,analyze,"from analyze.pattern import case_name_glb, case_name_dyn, case_name_cyc"
analyze/pattern.py,analyze/xlsl_e2e_latency.py,3,pattern,"from analyze.pattern import case_name_glb, case_name_dyn, case_name_cyc"
model/event_gen/e2e_latency.py,analyze/xlsl_e2e_latency.py,21,e2e_latency,"    glb_df_soft.set_index(['e2e_latency', 'aux_scale_factor', 'num_cores'], inplace=True)"
output.pdf,analyze/xlsl_e2e_latency.py,7,output,"parser.add_argument(""--root_dir_glb"", type=str, default=""log"", help=""output directory"")"
output.txt,analyze/xlsl_e2e_latency.py,7,output,"parser.add_argument(""--root_dir_glb"", type=str, default=""log"", help=""output directory"")"
analyze/__init__.py,analyze/xlsl_max_tp.py,3,analyze,"from analyze.pattern import case_name_glb, case_name_dyn, case_name_cyc"
analyze/pattern.py,analyze/xlsl_max_tp.py,3,pattern,"from analyze.pattern import case_name_glb, case_name_dyn, case_name_cyc"
model/event_gen/e2e_latency.py,analyze/xlsl_max_tp.py,22,e2e_latency,"    avl_df = df.loc[aval_idx, ['e2e_latency', 'num_cores', 'throughput']]"
output.pdf,analyze/xlsl_max_tp.py,8,output,"parser.add_argument(""--root_dir_glb"", type=str, default=""log"", help=""output directory"")"
