path,line,risk_type,snippet
sched/packing_solver/chain_slack_assign.py,3,solver-gurobi,"from gurobipy import GRB, quicksum"
sched/packing_solver/chain_slack_assign.py,83,solver-gurobi,class GurobiRscSlackEstim:
sched/packing_solver/chain_slack_assign.py,85,solver-gurobi,    基于分位数的串行链路资源分配（Gurobi）
sched/packing_solver/chain_slack_assign.py,122,solver-gurobi,"        self.model = gp.Model(""rsc_slack_estim"")"
sched/packing_solver/chain_slack_assign.py,134,solver-gurobi,"            self.core.append(self.model.addVar(lb=1, vtype=GRB.INTEGER, name=f'core[{i}]'))"
sched/packing_solver/chain_slack_assign.py,135,solver-gurobi,"            self.lat.append(self.model.addVar(lb=0.0, vtype=GRB.CONTINUOUS, name=f'lat[{i}]'))"
sched/packing_solver/chain_slack_assign.py,139,solver-gurobi,"                self.core_sel[i] = self.model.addVars(num_options, vtype=GRB.BINARY, name=f""sel_{i}"")"
sched/packing_solver/chain_slack_assign.py,141,solver-gurobi,"        self.max_core = self.model.addVar(lb=0, ub=self.tot_cores, vtype=GRB.INTEGER, name=""max_core"")"
sched/packing_solver/chain_slack_assign.py,159,solver-gurobi,                # Gurobi 支持二次约束: (L_i - io_q) * C_i >= load_q / FLOPS_PER_CORE
sched/packing_solver/chain_slack_assign.py,185,solver-gurobi,"        print(""Gurobi-RscSlackEstim!!\n"")"
sched/packing_solver/chain_slack_assign.py,187,solver-gurobi,"        self.model.setObjective(self.max_core, GRB.MINIMIZE)"
sched/packing_solver/chain_slack_assign.py,202,solver-gurobi,"        assert check_solution_validity(sol, self.node_var_dists, self.e2e_lat, self.quantile, self.constr_core, self.tot_cores), ""Gurobi solution failed post-check"""
sched/packing_solver/chain_slack_assign.py,204,solver-gurobi,        # except gp.GurobiError as e:
sched/packing_solver/chain_slack_assign.py,205,solver-gurobi,"        #     print('GurobiError', e.errno, str(e))"
sched/packing_solver/gurobi_MP_semi2DClst.py,1,solver-gurobi,import gurobipy as gp
sched/packing_solver/gurobi_MP_semi2DClst.py,2,solver-gurobi,from gurobipy import GRB
sched/packing_solver/gurobi_MP_semi2DClst.py,7,solver-gurobi,class ClusterGurobiSolverSemi2D:
sched/packing_solver/gurobi_MP_semi2DClst.py,7,solver-gurobi,class ClusterGurobiSolverSemi2D:
sched/packing_solver/gurobi_MP_semi2DClst.py,63,solver-gurobi,"        self.model = gp.Model(""2DBP"")"
sched/packing_solver/gurobi_MP_semi2DClst.py,90,solver-gurobi,"        self.x = self.model.addVars(((i, m) for i in self.Items_tbd_size.keys() for m in range(self.M)), vtype=GRB.BINARY, name=""x"")"
sched/packing_solver/gurobi_MP_semi2DClst.py,93,solver-gurobi,"            self.util[m] = self.model.addVar(lb=0, ub=1, vtype=GRB.CONTINUOUS, name=f'bin_{m}_util')"
sched/packing_solver/gurobi_MP_semi2DClst.py,95,solver-gurobi,"                self.usage[j, m] = self.model.addVar(lb=0, ub=self.max_size, vtype=GRB.INTEGER, name=f'bin_{m}_usage_Prob{j}')"
sched/packing_solver/gurobi_MP_semi2DClst.py,97,solver-gurobi,"        self.affinity_score = self.model.addVar(lb=-self.N, ub=self.N, vtype=GRB.CONTINUOUS, name=""affinity_score"")"
sched/packing_solver/gurobi_MP_semi2DClst.py,99,solver-gurobi,"        self.min_util = self.model.addVar(lb=0, ub=1, vtype=GRB.CONTINUOUS, name=f'min_util')"
sched/packing_solver/gurobi_MP_semi2DClst.py,100,solver-gurobi,"        self.max_util = self.model.addVar(lb=0, ub=1, vtype=GRB.CONTINUOUS, name=f'max_util')"
sched/packing_solver/gurobi_MP_semi2DClst.py,103,solver-gurobi,"            self.bin_sel = self.model.addVars(self.M, vtype=GRB.BINARY, name=""bin_sel"") "
sched/packing_solver/gurobi_MP_semi2DClst.py,105,solver-gurobi,"        self.tot_size = self.model.addVar(lb=0, ub=self.max_size, vtype=GRB.INTEGER, name=""tot_size"")"
sched/packing_solver/gurobi_MP_semi2DClst.py,107,solver-gurobi,"            self.bin_size[m] = self.model.addVar(lb=0, ub=self.max_size, vtype=GRB.INTEGER, name=f'bin_{m}_size')"
sched/packing_solver/gurobi_MP_semi2DClst.py,178,solver-gurobi,            if status == GRB.OPTIMAL:
sched/packing_solver/gurobi_MP_semi2DClst.py,192,solver-gurobi,            elif status == GRB.INF_OR_UNBD or status == GRB.INFEASIBLE:
sched/packing_solver/gurobi_MP_semi2DClst.py,192,solver-gurobi,            elif status == GRB.INF_OR_UNBD or status == GRB.INFEASIBLE:
sched/packing_solver/gurobi_MP_semi2DClst.py,212,solver-gurobi,        except gp.GurobiError as e:
sched/packing_solver/gurobi_MP_semi2DClst.py,220,solver-gurobi,    bin_packing_solver = ClusterGurobiSolverSemi2D()
sched/packing_solver/gurobi_MP_semi2DClst.py,220,solver-gurobi,    bin_packing_solver = ClusterGurobiSolverSemi2D()
sched/packing_solver/gurobi_MP_semi2DClst.py,220,solver-gurobi,    bin_packing_solver = ClusterGurobiSolverSemi2D()
sched/packing_solver/gurobi_MP_semi2DClst.py,221,solver-gurobi,    bin_packing_solver.create_variables()
sched/packing_solver/gurobi_MP_semi2DClst.py,222,solver-gurobi,    bin_packing_solver.define_constraints()
sched/packing_solver/gurobi_MP_semi2DClst.py,223,solver-gurobi,    bin_packing_solver.solve()
sched/packing_solver/gurobi_semi2Dclst_mapping.py,269,shell-call,"            # relation of arrival, execution and finish time"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,1,solver-gurobi,"from gurobipy import Model, GRB, quicksum"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,3,solver-gurobi,import gurobipy as gp
sched/packing_solver/gurobi_semi2Dclst_mapping.py,6,solver-gurobi,class GurobiSemi2DClstMapping:
sched/packing_solver/gurobi_semi2Dclst_mapping.py,53,solver-gurobi,"        self.spt_fmt = GRB.CONTINUOUS if spt_fmt == ""float"" else GRB.INTEGER # Space variable type"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,53,solver-gurobi,"        self.spt_fmt = GRB.CONTINUOUS if spt_fmt == ""float"" else GRB.INTEGER # Space variable type"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,54,solver-gurobi,"        self.temp_fmt = GRB.CONTINUOUS if time_format == ""float"" else GRB.INTEGER # Time variable type"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,54,solver-gurobi,"        self.temp_fmt = GRB.CONTINUOUS if time_format == ""float"" else GRB.INTEGER # Time variable type"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,96,solver-gurobi,"            vtype=GRB.BINARY,"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,101,solver-gurobi,"            vtype=GRB.BINARY,"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,130,solver-gurobi,"                    self.active_at_t[(i, t)] = self.model.addVar(vtype=GRB.BINARY, name=f""Active_At_T[{i},{t}]"")"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,132,solver-gurobi,"                    self.Lsatisfied[(i, t)] = self.model.addVar(vtype=GRB.BINARY, name=f""L_Satisfied[{i},{t}]"")"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,134,solver-gurobi,"                    self.Rsatisfied[(i, t)] = self.model.addVar(vtype=GRB.BINARY, name=f""R_Satisfied[{i},{t}]"")"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,135,solver-gurobi,"                    self.active_at_t_cross_period[(i, t)] = self.model.addVar(vtype=GRB.BINARY, name=f""Active_At_T_Cross_Period[{i},{t}]"")"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,136,solver-gurobi,"                    self.active_at_t_not_cross_period[(i, t)] = self.model.addVar(vtype=GRB.BINARY, name=f""Active_At_T_Not_Cross_Period[{i},{t}]"")"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,146,solver-gurobi,"        self.is_cross_period = self.model.addVars(self.N, vtype=GRB.BINARY, name=""Is_Cross_Period"")"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,148,solver-gurobi,"            [(i, j) for i, j in self.dependencies], vtype=GRB.BINARY, name=""Is_Edge_Cross_Period"""
sched/packing_solver/gurobi_semi2Dclst_mapping.py,153,solver-gurobi,"                self.is_edge_cross_period[-1, i] = self.model.addVar(vtype=GRB.BINARY, name=f""Is_Edge_Cross_Period_{-1}_{i}"")"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,163,solver-gurobi,"        #         self.speedup_rate[i] = self.model.addVar(lb=0, ub=1, vtype=GRB.CONTINUOUS, name=f""Speedup_Rate_{i}"")"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,166,solver-gurobi,"        self.affinity_score = self.model.addVar(vtype=GRB.CONTINUOUS, name=""affinity_score"")"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,167,solver-gurobi,"        self.spatial_affinity = self.model.addVars([(i,j) for i,j in self.dependencies], vtype=GRB.CONTINUOUS, name=""spatial_affinity"")"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,168,solver-gurobi,"        self.temporal_affinity = self.model.addVars([(i,j) for i,j in self.dependencies], vtype=GRB.CONTINUOUS, name=""temporal_affinity"")"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,169,solver-gurobi,"        self.temporal_affinity_bool = self.model.addVars([(i,j) for i,j in self.dependencies], vtype=GRB.BINARY, name=""temporal_affinity_bool"")"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,170,solver-gurobi,"        self.st_affinity_bool = self.model.addVars([(i,j) for i,j in self.dependencies], vtype=GRB.CONTINUOUS, name=""st_affinity_bool"")"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,177,solver-gurobi,"        # self.spatial_rda_ratio = self.model.addVars(self.S, lb=0, ub=1, vtype=GRB.CONTINUOUS, name=""Spatial_RDA_Ratio"")"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,180,solver-gurobi,"            vtype=GRB.CONTINUOUS,"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,185,solver-gurobi,"            vtype=GRB.CONTINUOUS,"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,190,solver-gurobi,"            vtype=GRB.CONTINUOUS,"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,194,solver-gurobi,"            vtype=GRB.CONTINUOUS,"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,201,solver-gurobi,"            vtype=GRB.CONTINUOUS,"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,461,solver-gurobi,"            vtype=GRB.CONTINUOUS,"
sched/packing_solver/gurobi_semi2Dclst_mapping.py,539,solver-gurobi,                if where == gp.GRB.Callback.MIPSOL:
sched/packing_solver/gurobi_semi2Dclst_mapping.py,541,solver-gurobi,                    obj = model.cbGet(gp.GRB.Callback.MIPSOL_OBJ)  # 获取目标函数值
sched/packing_solver/gurobi_semi2Dclst_mapping.py,576,solver-gurobi,        except gp.GurobiError as e:
sched/packing_solver/gurobi_semi2Dclst_mapping.py,586,solver-gurobi,        if status == GRB.OPTIMAL:
sched/packing_solver/gurobi_semi2Dclst_mapping.py,616,solver-gurobi,        elif status == GRB.INF_OR_UNBD or status == GRB.INFEASIBLE:
sched/packing_solver/gurobi_semi2Dclst_mapping.py,616,solver-gurobi,        elif status == GRB.INF_OR_UNBD or status == GRB.INFEASIBLE:
sched/packing_solver/gurobi_semi2Dclst_mapping.py,803,solver-gurobi,    scheduler = GurobiSemi2DClstMapping(**test_input)
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,254,shell-call,"            # relation of arrival, execution and finish time"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,1,solver-gurobi,"from gurobipy import Model, GRB, quicksum"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,3,solver-gurobi,import gurobipy as gp
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,6,solver-gurobi,class GurobiSemi2DClstMapping:
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,53,solver-gurobi,"        self.spt_fmt = GRB.CONTINUOUS if spt_fmt == ""float"" else GRB.INTEGER # Space variable type"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,53,solver-gurobi,"        self.spt_fmt = GRB.CONTINUOUS if spt_fmt == ""float"" else GRB.INTEGER # Space variable type"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,54,solver-gurobi,"        self.temp_fmt = GRB.CONTINUOUS if time_format == ""float"" else GRB.INTEGER # Time variable type"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,54,solver-gurobi,"        self.temp_fmt = GRB.CONTINUOUS if time_format == ""float"" else GRB.INTEGER # Time variable type"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,93,solver-gurobi,"        self.is_start_tick = self.model.addVars(self.N, self.NT, vtype=GRB.BINARY, name=""Is_Start_Node"") "
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,95,solver-gurobi,"        self.is_end_tick = self.model.addVars(self.N, self.NT, vtype=GRB.BINARY, name=""Is_End_Node"")  "
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,99,solver-gurobi,"            vtype=GRB.BINARY,"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,104,solver-gurobi,"            vtype=GRB.BINARY,"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,116,solver-gurobi,"            vtype=GRB.BINARY,"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,126,solver-gurobi,"        self.utilization = self.model.addVars(self.S, lb=0, ub=1, vtype=GRB.CONTINUOUS, name=""Utilization"")"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,127,solver-gurobi,"        self.min_util = self.model.addVar(lb=0, ub=1, vtype=GRB.CONTINUOUS, name=f'min_util')"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,128,solver-gurobi,"        self.max_util = self.model.addVar(lb=0, ub=1, vtype=GRB.CONTINUOUS, name=f'max_util')"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,134,solver-gurobi,"                self.speedup_rate[i] = self.model.addVar(lb=0, ub=1, vtype=GRB.CONTINUOUS, name=f""Speedup_Rate_{i}"")"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,137,solver-gurobi,"        self.affinity_score = self.model.addVar(lb=-len(self.dependencies), ub=len(self.dependencies), vtype=GRB.CONTINUOUS, name=""affinity_score"")"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,140,solver-gurobi,"        self.spatial_rda_ratio = self.model.addVars(self.S, lb=0, ub=1, vtype=GRB.CONTINUOUS, name=""Spatial_RDA_Ratio"")"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,143,solver-gurobi,"            vtype=GRB.CONTINUOUS,"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,148,solver-gurobi,"            vtype=GRB.CONTINUOUS,"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,152,solver-gurobi,"            vtype=GRB.CONTINUOUS,"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,162,solver-gurobi,"        self.is_cross_period = self.model.addVars(self.N, vtype=GRB.BINARY, name=""Is_Cross_Period"")"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,164,solver-gurobi,"            [(i, j) for i, j in self.dependencies], vtype=GRB.BINARY, name=""Is_Edge_Cross_Period"""
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,169,solver-gurobi,"                self.is_edge_cross_period[-1, i] = self.model.addVar(vtype=GRB.BINARY, name=f""Is_Edge_Cross_Period_{-1}_{i}"")"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,290,solver-gurobi,"        v_start = self.model.addVars(self.N, self.NT, vtype=GRB.CONTINUOUS, lb=0, ub=self.T, name=""V_Start"")"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,291,solver-gurobi,"        v_end = self.model.addVars(self.N, self.NT, vtype=GRB.CONTINUOUS, lb=0, ub=self.T, name=""V_End"")"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,393,solver-gurobi,"                    self.at_bin_t[i, s, t] = self.model.addVar(vtype=GRB.BINARY, name=f""z_{i}_{s}_{t}"")"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,410,solver-gurobi,"            vtype=GRB.BINARY,"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,416,solver-gurobi,"            vtype=GRB.BINARY,"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,421,solver-gurobi,"            vtype=GRB.BINARY,"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,426,solver-gurobi,"            vtype=GRB.BINARY,"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,474,solver-gurobi,"            vtype=GRB.INTEGER,"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,515,solver-gurobi,"            vtype=GRB.CONTINUOUS,"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,530,solver-gurobi,"        # self.model.setObjective(self.static_wasted_resources, GRB.MINIMIZE)"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,558,solver-gurobi,"        # # self.model.setObjective(quicksum(self.peak_bin_usage[s] for s in range(self.S)), GRB.MINIMIZE)"
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,576,solver-gurobi,                if where == gp.GRB.Callback.MIPSOL:
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,577,solver-gurobi,                    obj = model.cbGet(gp.GRB.Callback.MIPSOL_OBJ)  # 获取目标函数值
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,605,solver-gurobi,        except gp.GurobiError as e:
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,615,solver-gurobi,        if status == GRB.OPTIMAL:
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,642,solver-gurobi,        elif status == GRB.INF_OR_UNBD or status == GRB.INFEASIBLE:
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,642,solver-gurobi,        elif status == GRB.INF_OR_UNBD or status == GRB.INFEASIBLE:
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,807,solver-gurobi,    scheduler = GurobiSemi2DClstMapping(**test_input)
sched/pre_alloc.py,26,shell-call,    # push the ready task into the idle slot
sched/pre_alloc.py,32,shell-call,    #   try to allocate the enough resources for the task to finish before the deadline
sched/pre_alloc.py,34,shell-call,    #   timing constraint first: use just enough resources to finish the task before the deadline
sched/pre_alloc.py,131,shell-call,    # try to push the task into the bins in the bin_list
sched/pre_alloc_new.py,39,shell-call,    # push the ready task into the idle slot
sched/pre_alloc_new.py,45,shell-call,    #   try to allocate the enough resources for the task to finish before the deadline
sched/pre_alloc_new.py,47,shell-call,    #   timing constraint first: use just enough resources to finish the task before the deadline
sched/pre_alloc_new.py,217,shell-call,    # Step: try to push the task into the bins in the bin_list
sched/sched_fn.py,141,shell-call,    # logic for updating the cfg and replenish the budget
sched/sched_fn.py,361,shell-call,                    # tries to finish the remaining work assigned by the configuration chunk until the now
sched/sched_fn.py,583,shell-call,    # logic for updating the cfg and replenish the budget
sched/sched_fn.py,838,shell-call,    # logic for updating the cfg and replenish the budget
sched/scheduler_agent.py,43,shell-call,     operation: a push operation is executed to see if some task can be moved to another queue. 
sched/scheduler_agent.py,61,shell-call,        4.2. make the preemption/pull/push decision
sched/slack_estim.py,17,solver-gurobi,"from sched.packing_solver.chain_slack_assign import GurobiRscSlackEstim, HeuriRscSlackEstim"
sched/slack_estim.py,17,solver-gurobi,"from sched.packing_solver.chain_slack_assign import GurobiRscSlackEstim, HeuriRscSlackEstim"
sched/slack_estim.py,108,solver-gurobi,"                    quantile: float, threshold: float = None, algorithm: str = ""gurobi"", total_cores: int = 300) -> Dict[str, Tuple[int, float, str]]:"
sched/slack_estim.py,118,solver-gurobi,"        algorithm: 求解算法，可选 ""heuristic"" 或 ""gurobi"""
sched/slack_estim.py,177,solver-gurobi,"        if algorithm == ""gurobi"":"
