path,kind
doc/spec/abla2-3_describe.md,docs
doc/spec/algorithm/binpack_solver_spec.md,docs
doc/spec/algorithm/chain_slack_assignment_algorithm.md,docs
doc/spec/algorithm/guided_hybrid_allocation_algorithm.md,docs
doc/spec/algorithm/paper/cursor_algo_paper.md,docs
doc/spec/cfg/binpack_config_design.md,docs
doc/spec/e2e_sched_sim_flow.md,docs
doc/spec/exp_design/motiv_case_api_README.md,docs
doc/spec/exp_design/motiv_case_api_usage.md,docs
doc/spec/exp_design/motiv_case_plotting_examples.md,docs
doc/spec/key_COT.md,docs
doc/spec/model/latency_model.md,docs
doc/spec/motiv1_describe.md,docs
doc/spec/motiv2_describe.md,docs
doc/spec/readme.md,docs
doc/spec/sim/approach_sim_spec.md,docs
doc/spec/sim/simulation_numerical_design.md,docs
doc/spec/stat/collector.md,docs
doc/spec/stat/runtime_overhead_spec.md,docs
doc/spec/stat/statistics_collection_spec.md,docs
doc/spec/stat/tdigest_system_spec.md,docs
doc/spec/test_plan.md,test
doc/temp/data_structure.md,docs
doc/verification/0.3_truncexpon.pdf,docs
doc/verification/0.5_truncexpon.pdf,docs
doc/verification/bin_insert_demo.csv,docs
doc/verification/bin_insert_demo.drawio,docs
doc/verification/heavy_scaling.md,docs
doc/verification/jitter_sim.pdf,docs
doc/verification/medium_scaling_log.md,docs
doc/verification/mem_plan_prio.pdf,docs
doc/verification/mem_plan_seq.pdf,docs
doc/verification/truncnorm.pdf,docs
doc/verification/truncpareto.pdf,docs
doc/verification/truncweibull_min.pdf,docs
error_log.txt,other
example/bm1.py,python
example/bm2.py,python
example/bm3.py,python
example/bm4.py,python
global_var.py,python
golden_trace.txt,other
main_approach.py,python
mapper/__init__.py,python
mapper/mem_planner.py,python
model/__init__.py,python
model/barrier_agent.py,python
model/buffer.py,python
model/event_gen/e2e_latency.py,python
model/lru.py,python
model/message/Context_message.py,python
model/message/data_pipe.py,python
model/message/message_handler.py,python
model/message/message_pipe.py,python
model/message/msg_dispatcher.py,python
model/noc.py,python
model/performance.py,python
model/position_table.py,python
model/resource_agent.py,python
model/streaming_processing/__init__.py,python
model/streaming_processing/wartermark_strategy.py,python
model/task_queue_agent.py,python
model/trace_example.py,python
optimizer/Figure_1.png,other
optimizer/delta_ver.py,python
optimizer/dist_custom.py,python
optimizer/ops.py,python
optimizer/ops_test.py,python
optimizer/scheduler_base.py,python
output.pdf,other
output.txt,other
package-lock.json,shared-config
package.json,shared-config
path_migration_guide.md,docs
path_replacement_summary.md,docs
paths.py,python
profiling/profiling.csv,other
profiling/profiling_light.csv,other
profiling/profiling_medium.csv,other
ref_tdigest.py,python
requirement.txt,other
run/1/all.sh,script
run/1/scan_aux.sh,script
run/1/scan_core.sh,script
run/1/sweep_seed.sh,script
run/2/aba_scalability_scan.sh,script
run/2/abla_scalablility.sh,script
run/2/all2.sh,script
run/3/time_sharing.sh,script
run/4/sum.md,docs
run/aba_scalability_scan copy.sh,script
run/abla_chain_sharing.sh,script
run/bin_sharing.sh,script
run/cfg_parser.py,python
run/clean.sh,script
run/max_core_num_scan.py,python
run/scan_coalescing.sh,script
run/temp.sh,script
sched/__init__.py,python
sched/bin_list_utils.py,python
sched/bin_ops.py,python
sched/binpack_config.py,python
sched/global_sched.py,python
sched/monitor_agent.py,python
sched/packing_solver/chain_slack_assign.py,python
sched/packing_solver/fit.py,python
sched/packing_solver/gurobi_MP_semi2DClst.py,python
sched/packing_solver/gurobi_semi2Dclst_mapping.py,python
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,python
sched/placement.py,python
sched/pre_alloc.py,python
sched/pre_alloc_new.py,python
sched/ref_alloc_search.py,python
sched/sched_fn.py,python
sched/sched_utils.py,python
sched/scheduler_agent.py,python
sched/scheduling_table.py,python
sched/slack_estim.py,python
sched/sort_function.py,python
sched/state_trans.py,python
scripts/README_motiv_exp_runner.md,docs
scripts/abla_exp_runner.py,python
scripts/e2e_exp_runner.py,python
scripts/e2e_hyperparam.py,python
scripts/exp_common.py,python
scripts/motiv_exp_runner.py,python
scripts/repack_sweep.py,python
scripts/run_abla_exps.sh,script
scripts/run_motiv_exps.sh,script
scripts/test_alloc_lat.py,test
sim_main.py,python
simple_test_collector.py,python
stats_collector.json,config
task/__init__.py,python
task/graph_breakdown.py,python
task/graph_scaling.py,python
task/load_cfg/loadA.py,python
task/spec.py,python
task/task_agent.py,python
task/task_cfg.py,python
task/throughput_cnt.py,python
test_approach_collector.py,test
test_closure_fix.py,test
test_core_allocation.py,test
test_duplicate.py,test
test_event_update.py,test
test_mapping.py,test
test_repack_diagnostic.py,test
test_updated_stats.py,test
tile_2d_mesh_mapper_fixed.py,python
unused_fun.py,python
utils.py,python
