path,owner,scope,write_allowed,protected,notes
doc/dev/ablation_dev.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/dev/change_log_2023.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/dev/change_log_2024.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/dev/change_log_2025.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/dev/change_log_2026.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/dev/claude_revise.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/dev/code_cleanup_2026.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/dev/fig_plotting_context.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/dev/plans/2026-03-20-repack-fix-core.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/dev/repack_debug_instrumentation.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/guide/README.md,team-leader,shared-config,leader-only,yes,Generated Phase 1 ownership seed for batch B0-SHARED
doc/guide/architecture_overview.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/guide/collector_overview.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/guide/deprecated_code.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/guide/exp_scripts_overview.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/guide/sched_core_overview.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/guide/simulation_flow_overview.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/guide/task_model_overview.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/imgs/L-shape-space.png,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/imgs/multi-copies_run.png,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/imgs/trigger_issue.png,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/setting.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/sim_flow.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/sparse_list.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/abla1_describe.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/abla2-3_describe.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/algorithm/binpack_solver_spec.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/algorithm/chain_slack_assignment_algorithm.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/algorithm/guided_hybrid_allocation_algorithm.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/algorithm/paper/cursor_algo_paper.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/cfg/binpack_config_design.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/e2e_sched_sim_flow.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/exp_design/motiv_case_api_README.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/exp_design/motiv_case_api_usage.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/exp_design/motiv_case_plotting_examples.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/key_COT.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/model/latency_model.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/motiv1_describe.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/motiv2_describe.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/readme.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/sim/approach_sim_spec.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/sim/simulation_numerical_design.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/stat/collector.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/stat/runtime_overhead_spec.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/stat/statistics_collection_spec.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/stat/tdigest_system_spec.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/spec/test_plan.md,worker-docs,test,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/temp/data_structure.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/verification/0.3_truncexpon.pdf,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/verification/0.5_truncexpon.pdf,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/verification/bin_insert_demo.csv,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/verification/bin_insert_demo.drawio,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/verification/heavy_scaling.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/verification/jitter_sim.pdf,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/verification/medium_scaling_log.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/verification/mem_plan_prio.pdf,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/verification/mem_plan_seq.pdf,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/verification/truncnorm.pdf,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/verification/truncpareto.pdf,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
doc/verification/truncweibull_min.pdf,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
error_log.txt,worker-root,other,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
example/bm1.py,worker-example,python,yes,no,Generated Phase 1 ownership seed for batch B8-EXAMPLE
example/bm2.py,worker-example,python,yes,no,Generated Phase 1 ownership seed for batch B8-EXAMPLE
example/bm3.py,worker-example,python,yes,no,Generated Phase 1 ownership seed for batch B8-EXAMPLE
example/bm4.py,worker-example,python,yes,no,Generated Phase 1 ownership seed for batch B8-EXAMPLE
global_var.py,worker-root,python,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
golden_trace.txt,worker-root,other,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
main_approach.py,worker-root,python,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
mapper/__init__.py,worker-mapper,python,yes,no,Generated Phase 1 ownership seed for batch B9-MAPPER
mapper/mem_planner.py,worker-mapper,python,yes,no,Generated Phase 1 ownership seed for batch B9-MAPPER
model/__init__.py,worker-model,python,yes,no,Generated Phase 1 ownership seed for batch B10-MODEL
model/barrier_agent.py,worker-model,python,yes,no,Generated Phase 1 ownership seed for batch B10-MODEL
model/buffer.py,worker-model,python,yes,no,Generated Phase 1 ownership seed for batch B10-MODEL
model/event_gen/e2e_latency.py,worker-model,python,yes,no,Generated Phase 1 ownership seed for batch B10-MODEL
model/lru.py,worker-model,python,yes,no,Generated Phase 1 ownership seed for batch B10-MODEL
model/message/Context_message.py,worker-model,python,yes,no,Generated Phase 1 ownership seed for batch B10-MODEL
model/message/data_pipe.py,worker-model,python,yes,no,Generated Phase 1 ownership seed for batch B10-MODEL
model/message/message_handler.py,worker-model,python,yes,no,Generated Phase 1 ownership seed for batch B10-MODEL
model/message/message_pipe.py,worker-model,python,yes,no,Generated Phase 1 ownership seed for batch B10-MODEL
model/message/msg_dispatcher.py,worker-model,python,yes,no,Generated Phase 1 ownership seed for batch B10-MODEL
model/noc.py,worker-model,python,yes,no,Generated Phase 1 ownership seed for batch B10-MODEL
model/performance.py,worker-model,python,yes,no,Generated Phase 1 ownership seed for batch B10-MODEL
model/position_table.py,worker-model,python,yes,no,Generated Phase 1 ownership seed for batch B10-MODEL
model/resource_agent.py,worker-model,python,yes,no,Generated Phase 1 ownership seed for batch B10-MODEL
model/streaming_processing/__init__.py,worker-model,python,yes,no,Generated Phase 1 ownership seed for batch B10-MODEL
model/streaming_processing/wartermark_strategy.py,worker-model,python,yes,no,Generated Phase 1 ownership seed for batch B10-MODEL
model/task_queue_agent.py,worker-model,python,yes,no,Generated Phase 1 ownership seed for batch B10-MODEL
model/trace_example.py,worker-model,python,yes,no,Generated Phase 1 ownership seed for batch B10-MODEL
optimizer/Figure_1.png,worker-optimizer,other,yes,no,Generated Phase 1 ownership seed for batch B11-OPTIMIZER
optimizer/delta_ver.py,worker-optimizer,python,yes,no,Generated Phase 1 ownership seed for batch B11-OPTIMIZER
optimizer/dist_custom.py,worker-optimizer,python,yes,no,Generated Phase 1 ownership seed for batch B11-OPTIMIZER
optimizer/ops.py,worker-optimizer,python,yes,no,Generated Phase 1 ownership seed for batch B11-OPTIMIZER
tests/helpers/optimizer/ops_test.py,codex,test,yes,no,B28 retained manual or historical test helper; excluded from automatic pytest collection
optimizer/scheduler_base.py,worker-optimizer,python,yes,no,Generated Phase 1 ownership seed for batch B11-OPTIMIZER
output.pdf,worker-root,other,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
output.txt,worker-root,other,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
package-lock.json,team-leader,shared-config,leader-only,yes,Generated Phase 1 ownership seed for batch B0-SHARED
package.json,team-leader,shared-config,leader-only,yes,Generated Phase 1 ownership seed for batch B0-SHARED
path_migration_guide.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
path_replacement_summary.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
paths.py,worker-root,python,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
profiling/profiling.csv,worker-profiling,other,yes,no,Generated Phase 1 ownership seed for batch B12-PROFILING
profiling/profiling_light.csv,worker-profiling,other,yes,no,Generated Phase 1 ownership seed for batch B12-PROFILING
profiling/profiling_medium.csv,worker-profiling,other,yes,no,Generated Phase 1 ownership seed for batch B12-PROFILING
ref_tdigest.py,worker-root,python,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
requirement.txt,worker-root,other,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
run/1/all.sh,worker-run,script,yes,no,Generated Phase 1 ownership seed for batch B14-RUN
run/1/scan_aux.sh,worker-run,script,yes,no,Generated Phase 1 ownership seed for batch B14-RUN
run/1/scan_core.sh,worker-run,script,yes,no,Generated Phase 1 ownership seed for batch B14-RUN
run/1/sweep_seed.sh,worker-run,script,yes,no,Generated Phase 1 ownership seed for batch B14-RUN
run/2/aba_scalability_scan.sh,worker-run,script,yes,no,Generated Phase 1 ownership seed for batch B14-RUN
run/2/abla_scalablility.sh,worker-run,script,yes,no,Generated Phase 1 ownership seed for batch B14-RUN
run/2/all2.sh,worker-run,script,yes,no,Generated Phase 1 ownership seed for batch B14-RUN
run/3/time_sharing.sh,worker-run,script,yes,no,Generated Phase 1 ownership seed for batch B14-RUN
run/4/sum.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
run/aba_scalability_scan copy.sh,worker-run,script,yes,no,Generated Phase 1 ownership seed for batch B14-RUN
run/abla_chain_sharing.sh,worker-run,script,yes,no,Generated Phase 1 ownership seed for batch B14-RUN
run/bin_sharing.sh,worker-run,script,yes,no,Generated Phase 1 ownership seed for batch B14-RUN
run/cfg_parser.py,worker-run,python,yes,no,Generated Phase 1 ownership seed for batch B14-RUN
run/clean.sh,worker-run,script,yes,no,Generated Phase 1 ownership seed for batch B14-RUN
run/max_core_num_scan.py,worker-run,python,yes,no,Generated Phase 1 ownership seed for batch B14-RUN
run/scan_coalescing.sh,worker-run,script,yes,no,Generated Phase 1 ownership seed for batch B14-RUN
run/temp.sh,worker-run,script,yes,no,Generated Phase 1 ownership seed for batch B14-RUN
sched/__init__.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/bin_list_utils.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/bin_ops.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/binpack_config.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/global_sched.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/monitor_agent.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/packing_solver/chain_slack_assign.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/packing_solver/fit.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/packing_solver/gurobi_MP_semi2DClst.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/packing_solver/gurobi_semi2Dclst_mapping.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/packing_solver/gurobi_semi2Dclst_mapping2.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/placement.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/pre_alloc.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/pre_alloc_new.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/ref_alloc_search.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/sched_fn.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/sched_utils.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/scheduler_agent.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/scheduling_table.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/slack_estim.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/sort_function.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
sched/state_trans.py,worker-sched,python,yes,no,Generated Phase 1 ownership seed for batch B15-SCHED
scripts/README_motiv_exp_runner.md,worker-docs,docs,yes,no,Generated Phase 1 ownership seed for batch B7-DOCS
scripts/abla_exp_runner.py,worker-scripts,python,yes,no,Generated Phase 1 ownership seed for batch B16-SCRIPTS
scripts/e2e_exp_runner.py,worker-scripts,python,yes,no,Generated Phase 1 ownership seed for batch B16-SCRIPTS
scripts/e2e_hyperparam.py,worker-scripts,python,yes,no,Generated Phase 1 ownership seed for batch B16-SCRIPTS
scripts/exp_common.py,worker-scripts,python,yes,no,Generated Phase 1 ownership seed for batch B16-SCRIPTS
scripts/motiv_exp_runner.py,worker-scripts,python,yes,no,Generated Phase 1 ownership seed for batch B16-SCRIPTS
scripts/repack_sweep.py,worker-scripts,python,yes,no,Generated Phase 1 ownership seed for batch B16-SCRIPTS
scripts/run_abla_exps.sh,worker-scripts,script,yes,no,Generated Phase 1 ownership seed for batch B16-SCRIPTS
scripts/run_motiv_exps.sh,worker-scripts,script,yes,no,Generated Phase 1 ownership seed for batch B16-SCRIPTS
tests/helpers/test_alloc_lat.py,codex,test,yes,no,B28 retained manual or historical test helper; excluded from automatic pytest collection
sim_main.py,worker-root,python,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
tests/simple_test_collector.py,worker-root,python,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
stats_collector.json,worker-root,config,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
task/__init__.py,worker-task,python,yes,no,Generated Phase 1 ownership seed for batch B18-TASK
task/graph_breakdown.py,worker-task,python,yes,no,Generated Phase 1 ownership seed for batch B18-TASK
task/graph_scaling.py,worker-task,python,yes,no,Generated Phase 1 ownership seed for batch B18-TASK
task/load_cfg/loadA.py,worker-task,python,yes,no,Generated Phase 1 ownership seed for batch B18-TASK
task/spec.py,worker-task,python,yes,no,Generated Phase 1 ownership seed for batch B18-TASK
task/task_agent.py,worker-task,python,yes,no,Generated Phase 1 ownership seed for batch B18-TASK
task/task_cfg.py,worker-task,python,yes,no,Generated Phase 1 ownership seed for batch B18-TASK
task/throughput_cnt.py,worker-task,python,yes,no,Generated Phase 1 ownership seed for batch B18-TASK
tests/test_approach_collector.py,worker-tests,test,yes,no,Generated Phase 1 ownership seed for batch B19-TESTS
tests/test_closure_fix.py,worker-tests,test,yes,no,Generated Phase 1 ownership seed for batch B19-TESTS
tests/test_core_allocation.py,worker-tests,test,yes,no,Generated Phase 1 ownership seed for batch B19-TESTS
tests/test_duplicate.py,worker-tests,test,yes,no,Generated Phase 1 ownership seed for batch B19-TESTS
tests/helpers/test_event_update.py,codex,test,yes,no,B28 retained manual or historical test helper; excluded from automatic pytest collection
tests/helpers/test_mapping.py,codex,test,yes,no,B28 retained manual or historical test helper; excluded from automatic pytest collection
tests/test_repack_diagnostic.py,worker-tests,test,yes,no,Generated Phase 1 ownership seed for batch B19-TESTS
tests/test_updated_stats.py,worker-tests,test,yes,no,Generated Phase 1 ownership seed for batch B19-TESTS
tile_2d_mesh_mapper_fixed.py,worker-root,python,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
unused_fun.py,worker-root,python,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
utils.py,worker-root,python,yes,no,Generated Phase 1 ownership seed for batch B13-ROOT
